term,idf
aacr,5.537961436294641
ab,5.132496328186477
abatacept,5.537961436294641
aberrant,5.537961436294641
aberration,5.537961436294641
ability,3.340736858958422
abiotic,5.537961436294641
ablation,5.132496328186477
able,3.340736858958422
abnormal,5.537961436294641
abnormality,5.537961436294641
absence,4.844814255734696
absolute,4.439349147626531
absorption,5.537961436294641
abstract,1.0
abstraction,5.537961436294641
abts,5.537961436294641
abundance,4.151667075174751
abundant,5.132496328186477
ac,5.132496328186477
acc,5.537961436294641
accelerate,5.132496328186477
accelerating,5.537961436294641
accepted,5.537961436294641
access,4.621670704420486
accessed,5.132496328186477
accessibility,4.844814255734696
accessible,4.033884039518368
accessory,5.537961436294641
accidentally,5.537961436294641
accompanied,5.132496328186477
according,4.151667075174751
accordingly,5.537961436294641
account,5.132496328186477
accounting,5.132496328186477
accumulated,5.537961436294641
accumulation,5.132496328186477
accuracy,2.1202347526812755
accurate,2.7047480922384253
accurately,3.5230584157523768
acd,5.537961436294641
achievable,5.537961436294641
achieve,3.592051287239328
achieved,3.053054786506641
achievement,5.537961436294641
achieves,4.151667075174751
achieving,5.537961436294641
acid,3.053054786506641
acp,5.537961436294641
acquire,5.537961436294641
acquired,4.844814255734696
across,3.186586179131164
act,5.132496328186477
acting,5.537961436294641
action,4.844814255734696
actionable,5.537961436294641
activated,5.537961436294641
activation,4.621670704420486
active,4.151667075174751
actively,5.537961436294641
activity,3.4585198946148052
actual,5.537961436294641
actually,5.537961436294641
acute,4.621670704420486
acy,5.537961436294641
acyclic,5.537961436294641
acylcarnitine,5.537961436294641
ad,4.844814255734696
adaboost,5.132496328186477
adalimumab,5.537961436294641
adanet,5.537961436294641
adaptation,4.844814255734696
adapted,5.537961436294641
adaptive,4.844814255734696
adaptively,5.132496328186477
added,4.844814255734696
addition,3.340736858958422
additional,3.7462019670665865
additionally,3.5230584157523768
additive,4.439349147626531
address,3.928523523860541
addressed,5.537961436294641
addressing,5.537961436294641
adenocarcinoma,4.621670704420486
adept,5.537961436294641
adequate,4.844814255734696
adequately,5.537961436294641
adjacent,5.132496328186477
adjunct,5.537961436294641
adjusted,5.537961436294641
adjustment,5.537961436294641
adjuvant,5.537961436294641
admet,5.537961436294641
administered,5.537961436294641
administration,4.844814255734696
admission,5.537961436294641
admitted,5.132496328186477
admitting,5.537961436294641
adopt,5.132496328186477
adopted,4.844814255734696
adoption,5.132496328186477
adopts,5.537961436294641
adult,4.439349147626531
advance,4.285198467799273
advanced,4.439349147626531
advancement,5.537961436294641
advancing,5.132496328186477
advantage,4.285198467799273
advantageous,5.537961436294641
adverbial,5.537961436294641
adversarial,5.132496328186477
adverse,5.132496328186477
adversely,5.537961436294641
ae,5.537961436294641
affect,4.151667075174751
affected,4.621670704420486
affecting,4.844814255734696
affinity,4.621670704420486
affordable,5.537961436294641
afp,5.537961436294641
afterwards,5.537961436294641
age,3.4585198946148052
agency,5.537961436294641
agent,4.151667075174751
aggregate,5.537961436294641
aggregated,5.537961436294641
aggregation,5.537961436294641
aggregator,5.537961436294641
aggressive,5.537961436294641
aggressively,5.537961436294641
aging,5.132496328186477
agonist,5.537961436294641
agps,5.537961436294641
agree,5.132496328186477
agreed,5.537961436294641
agreement,5.132496328186477
agriculture,5.537961436294641
ahu,5.537961436294641
ai,4.621670704420486
aid,5.537961436294641
aim,3.833213344056216
aimed,4.439349147626531
aiming,5.132496328186477
aimp,5.537961436294641
aisource,5.537961436294641
aisw,5.537961436294641
aki,5.537961436294641
aku,5.537961436294641
akuaku,5.537961436294641
al,5.132496328186477
alanine,5.537961436294641
albumin,5.132496328186477
aldcc,5.537961436294641
alfonso,5.537961436294641
algebraic,5.537961436294641
algorithm,2.4024672203654918
alia,5.537961436294641
aligning,5.537961436294641
alignment,4.033884039518368
alkaline,5.537961436294641
alkaptonuria,5.537961436294641
alkylated,5.537961436294641
allele,4.285198467799273
allelic,5.537961436294641
alleviating,5.537961436294641
allocation,5.537961436294641
allosteric,5.537961436294641
allow,4.621670704420486
allowed,4.151667075174751
allowing,4.151667075174751
allows,3.7462019670665865
almost,5.537961436294641
alone,4.151667075174751
along,4.844814255734696
alongside,4.844814255734696
alpha,5.132496328186477
alphafold,4.844814255734696
already,5.537961436294641
also,2.380961015144528
alt,5.537961436294641
alter,5.537961436294641
alteration,4.439349147626531
altered,4.844814255734696
altering,5.537961436294641
alternative,4.151667075174751
although,3.592051287239328
