_id,created,public,publication_authors,publication_created,publication_doi,publication_done,publication_journal,publication_pmid,publication_skip,publication_title,publication_updated,publication_year,score,updated,uuid,matches_publication/authors,matches_publication/doi,matches_publication/journal,matches_publication/pmid,matches_publication/title,matches_publication/updated,matches_publication/year,matches_publication/authors,matches_publication/doi,matches_publication/journal,matches_publication/pmid,matches_publication/title,matches_publication/updated,matches_publication/year,matches_publication/authors,matches_publication/doi,matches_publication/journal,matches_publication/pmid,matches_publication/title,matches_publication/updated,matches_publication/year,matches_publication/authors,matches_publication/doi,matches_publication/journal,matches_publication/pmid,matches_publication/title,matches_publication/updated,matches_publication/year,matches_publication/authors,matches_publication/doi,matches_publication/journal,matches_publication/pmid,matches_publication/title,matches_publication/updated,matches_publication/year
63516fedb9c880af1f305b5c,2022-09-01T15:16:05.444Z,True,"Wang H, Zheng H, Simpson D, Azuaje F",,10.1186/1471-2105-7-116,0.0,BMC Bioinformatics,16524483,0.0,Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.,01/28/2022 00:13:56,2006,0.67,2022-09-01T15:16:05.444Z,66a94333-8cd1-499c-86ef-0497a4c4dabc,"Wang H, Zheng H, Simpson D, Azuaje F",,BMC Bioinformatics,,Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.,01/28/2022 00:13:56,,"Wang H, Zheng H, Simpson D, Azuaje F",,BMC Bioinformatics,,Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.,01/28/2022 00:13:56,,"Wang H, Zheng H, Simpson D, Azuaje F",,BMC Bioinformatics,,Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.,01/28/2022 00:13:56,,"Wang H, Zheng H, Simpson D, Azuaje F",,BMC Bioinformatics,,Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.,01/28/2022 00:13:56,,"Wang H, Zheng H, Simpson D, Azuaje F",,BMC Bioinformatics,,Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.,01/28/2022 00:13:56,
63516fedb9c880af1f305b93,2022-09-01T15:16:05.445Z,True,"Al-Shahib A, Breitling R, Gilbert DR",,10.1186/1471-2164-8-78,0.0,BMC Genomics,17374164,0.0,Predicting protein function by machine learning on amino acid sequences--a critical evaluation.,03/09/2022 10:14:51,2007,0.67,2022-09-01T15:16:05.445Z,147ddf2b-6b53-4335-b62f-87994d284310,"Al-Shahib A, Breitling R, Gilbert DR",,BMC Genomics,,Predicting protein function by machine learning on amino acid sequences--a critical evaluation.,03/09/2022 10:14:51,,"Al-Shahib A, Breitling R, Gilbert DR",,BMC Genomics,,Predicting protein function by machine learning on amino acid sequences--a critical evaluation.,03/09/2022 10:14:51,,"Al-Shahib A, Breitling R, Gilbert DR",,BMC Genomics,,Predicting protein function by machine learning on amino acid sequences--a critical evaluation.,03/09/2022 10:14:51,,"Al-Shahib A, Breitling R, Gilbert DR",,BMC Genomics,,Predicting protein function by machine learning on amino acid sequences--a critical evaluation.,03/09/2022 10:14:51,,"Al-Shahib A, Breitling R, Gilbert DR",,BMC Genomics,,Predicting protein function by machine learning on amino acid sequences--a critical evaluation.,03/09/2022 10:14:51,
66030aaa1502715bfe53d65c,2024-03-26T17:49:30.048Z,True,"Hui Lan, Rachel Carson , Nicholas J Provart and Anthony J Bonner",,10.1186/1471-2105-8-358,,BMC Bioinformatics,17888165,,Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements,,2007,0.71,2024-03-26T17:49:30.048Z,600b20de-7c70-41af-ad39-33121af090ef,"Hui Lan, Rachel Carson , Nicholas J Provart and Anthony J Bonner",,BMC Bioinformatics,,Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements,,,"Hui Lan, Rachel Carson , Nicholas J Provart and Anthony J Bonner",,BMC Bioinformatics,,Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements,,,"Hui Lan, Rachel Carson , Nicholas J Provart and Anthony J Bonner",,BMC Bioinformatics,,Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements,,,"Hui Lan, Rachel Carson , Nicholas J Provart and Anthony J Bonner",,BMC Bioinformatics,,Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements,,,"Hui Lan, Rachel Carson , Nicholas J Provart and Anthony J Bonner",,BMC Bioinformatics,,Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements,,
66041e5d1502715bfe53d70a,2024-03-27T13:25:49.790Z,True,"Blaise Gassend, Charles W O'Donnell, William Thies, Andrew Lee, Marten van Dijk and Srinivas Devadas",,10.1186/1471-2105-8-S5-S3,,BMC Bioinformatics,17570862,,Learning biophysically-motivated parameters for alpha helix prediction,,2007,0.76,2024-03-27T13:25:49.790Z,b863eb51-d9ae-4fc0-bfd4-006db90d1631,"Blaise Gassend, Charles W O'Donnell, William Thies, Andrew Lee, Marten van Dijk and Srinivas Devadas",,BMC Bioinformatics,,Learning biophysically-motivated parameters for alpha helix prediction,,,"Blaise Gassend, Charles W O'Donnell, William Thies, Andrew Lee, Marten van Dijk and Srinivas Devadas",,BMC Bioinformatics,,Learning biophysically-motivated parameters for alpha helix prediction,,,"Blaise Gassend, Charles W O'Donnell, William Thies, Andrew Lee, Marten van Dijk and Srinivas Devadas",,BMC Bioinformatics,,Learning biophysically-motivated parameters for alpha helix prediction,,,"Blaise Gassend, Charles W O'Donnell, William Thies, Andrew Lee, Marten van Dijk and Srinivas Devadas",,BMC Bioinformatics,,Learning biophysically-motivated parameters for alpha helix prediction,,,"Blaise Gassend, Charles W O'Donnell, William Thies, Andrew Lee, Marten van Dijk and Srinivas Devadas",,BMC Bioinformatics,,Learning biophysically-motivated parameters for alpha helix prediction,,
63516fedb9c880af1f305b1c,2022-09-01T15:16:05.443Z,True,"Tsai RT, Dai HJ, Huang CH, Hsu WL",,10.1186/1471-2105-9-S12-S18,0.0,BMC Bioinformatics,19091017,0.0,Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.,03/25/2022 13:35:02,2008,0.81,2022-09-01T15:16:05.443Z,28fe7de1-ac05-4cf2-bfa8-d5ddd1ba32b8,"Tsai RT, Dai HJ, Huang CH, Hsu WL",,BMC Bioinformatics,,Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.,03/25/2022 13:35:02,,"Tsai RT, Dai HJ, Huang CH, Hsu WL",,BMC Bioinformatics,,Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.,03/25/2022 13:35:02,,"Tsai RT, Dai HJ, Huang CH, Hsu WL",,BMC Bioinformatics,,Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.,03/25/2022 13:35:02,,"Tsai RT, Dai HJ, Huang CH, Hsu WL",,BMC Bioinformatics,,Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.,03/25/2022 13:35:02,,"Tsai RT, Dai HJ, Huang CH, Hsu WL",,BMC Bioinformatics,,Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.,03/25/2022 13:35:02,
63516fedb9c880af1f305b1d,2022-09-01T15:16:05.443Z,True,"Klammer AA, Reynolds SM, Bilmes JA, MacCoss MJ, Noble WS",,10.1093/bioinformatics/btn189,0.0,Bioinformatics,18586734,0.0,Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification.,04/18/2022 16:37:38,2008,0.9,2022-09-01T15:16:05.443Z,56505402-9ea8-41a0-9132-ea658a7eee7f,"Klammer AA, Reynolds SM, Bilmes JA, MacCoss MJ, Noble WS",,,,Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification.,04/18/2022 16:37:38,,"Klammer AA, Reynolds SM, Bilmes JA, MacCoss MJ, Noble WS",,,,Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification.,04/18/2022 16:37:38,,"Klammer AA, Reynolds SM, Bilmes JA, MacCoss MJ, Noble WS",,,,Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification.,04/18/2022 16:37:38,,"Klammer AA, Reynolds SM, Bilmes JA, MacCoss MJ, Noble WS",,,,Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification.,04/18/2022 16:37:38,,"Klammer AA, Reynolds SM, Bilmes JA, MacCoss MJ, Noble WS",,,,Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification.,04/18/2022 16:37:38,
63516fedb9c880af1f305b94,2022-09-01T15:16:05.445Z,True,"Zhao XM, Wang Y, Chen L, Aihara K",,10.1186/1471-2105-9-57,0.0,BMC Bioinformatics,18221567,0.0,Gene function prediction using labeled and unlabeled data.,03/24/2022 13:09:43,2008,0.71,2022-09-01T15:16:05.445Z,9052c56d-022c-45d9-8b82-58312399f0dc,"Zhao XM, Wang Y, Chen L, Aihara K",,BMC Bioinformatics,,Gene function prediction using labeled and unlabeled data.,03/24/2022 13:09:43,,"Zhao XM, Wang Y, Chen L, Aihara K",,BMC Bioinformatics,,Gene function prediction using labeled and unlabeled data.,03/24/2022 13:09:43,,"Zhao XM, Wang Y, Chen L, Aihara K",,BMC Bioinformatics,,Gene function prediction using labeled and unlabeled data.,03/24/2022 13:09:43,,"Zhao XM, Wang Y, Chen L, Aihara K",,BMC Bioinformatics,,Gene function prediction using labeled and unlabeled data.,03/24/2022 13:09:43,,"Zhao XM, Wang Y, Chen L, Aihara K",,BMC Bioinformatics,,Gene function prediction using labeled and unlabeled data.,03/24/2022 13:09:43,
66040f611502715bfe53d6e7,2024-03-27T12:21:53.450Z,True,"Iain Melvin, Jason Weston , Christina S Leslie and William S Noble",,10.1186/1471-2105-9-389,,BMC Bioinformatics,18808707,,Combining classifiers for improved classification of proteins from sequence or structure,,2008,0.81,2024-03-27T12:21:53.450Z,804c2b2b-e663-4d3a-8042-7d2a35ad2122,"Iain Melvin, Jason Weston , Christina S Leslie and William S Noble",,BMC Bioinformatics,,Combining classifiers for improved classification of proteins from sequence or structure,,,"Iain Melvin, Jason Weston , Christina S Leslie and William S Noble",,BMC Bioinformatics,,Combining classifiers for improved classification of proteins from sequence or structure,,,"Iain Melvin, Jason Weston , Christina S Leslie and William S Noble",,BMC Bioinformatics,,Combining classifiers for improved classification of proteins from sequence or structure,,,"Iain Melvin, Jason Weston , Christina S Leslie and William S Noble",,BMC Bioinformatics,,Combining classifiers for improved classification of proteins from sequence or structure,,,"Iain Melvin, Jason Weston , Christina S Leslie and William S Noble",,BMC Bioinformatics,,Combining classifiers for improved classification of proteins from sequence or structure,,
63516fedb9c880af1f305b3a,2022-09-01T15:16:05.443Z,True,"Brown JB, Akutsu T",,10.1186/1471-2105-10-25,0.0,BMC Bioinformatics,19154573,0.0,"Identification of novel DNA repair proteins via primary sequence, secondary structure, and homology.",02/23/2022 23:30:01,2009,0.86,2022-09-01T15:16:05.443Z,1fe140b6-a570-49cf-bccb-e58aa1719bec,"Brown JB, Akutsu T",,BMC Bioinformatics,,"Identification of novel DNA repair proteins via primary sequence, secondary structure, and homology.",02/23/2022 23:30:01,,"Brown JB, Akutsu T",,BMC Bioinformatics,,"Identification of novel DNA repair proteins via primary sequence, secondary structure, and homology.",02/23/2022 23:30:01,,"Brown JB, Akutsu T",,BMC Bioinformatics,,"Identification of novel DNA repair proteins via primary sequence, secondary structure, and homology.",02/23/2022 23:30:01,,"Brown JB, Akutsu T",,BMC Bioinformatics,,"Identification of novel DNA repair proteins via primary sequence, secondary structure, and homology.",02/23/2022 23:30:01,,"Brown JB, Akutsu T",,BMC Bioinformatics,,"Identification of novel DNA repair proteins via primary sequence, secondary structure, and homology.",02/23/2022 23:30:01,
63516fedb9c880af1f305b5d,2022-09-01T15:16:05.444Z,True,"Wegrzyn JL, Lee JM, Liechty J, Neale DB",,10.1093/bioinformatics/btp477,0.0,Bioinformatics,19667082,0.0,PineSAP--sequence alignment and SNP identification pipeline.,04/06/2022 03:38:12,2009,0.81,2022-09-01T15:16:05.444Z,3f2e8acd-75f4-4e37-b345-0b43034fdfd4,"Wegrzyn JL, Lee JM, Liechty J, Neale DB",,,,PineSAP--sequence alignment and SNP identification pipeline.,04/06/2022 03:38:12,,"Wegrzyn JL, Lee JM, Liechty J, Neale DB",,,,PineSAP--sequence alignment and SNP identification pipeline.,04/06/2022 03:38:12,,"Wegrzyn JL, Lee JM, Liechty J, Neale DB",,,,PineSAP--sequence alignment and SNP identification pipeline.,04/06/2022 03:38:12,,"Wegrzyn JL, Lee JM, Liechty J, Neale DB",,,,PineSAP--sequence alignment and SNP identification pipeline.,04/06/2022 03:38:12,,"Wegrzyn JL, Lee JM, Liechty J, Neale DB",,,,PineSAP--sequence alignment and SNP identification pipeline.,04/06/2022 03:38:12,
