shortid,_id,created,public,score,updated,uuid,publication_authors,publication_created,publication_doi,publication_done,publication_journal,publication_pmid,publication_skip,publication_title,publication_updated,publication_year,matches_dataset/availability,matches_dataset/provenance,matches_dataset/redundancy,matches_dataset/splits,matches_optimization/algorithm,matches_optimization/config,matches_optimization/encoding,matches_optimization/features,matches_optimization/fitting,matches_optimization/meta,matches_optimization/parameters,matches_optimization/regularization,matches_model/availability,matches_model/duration,matches_model/interpretability,matches_model/output,matches_evaluation/availability,matches_evaluation/comparison,matches_evaluation/confidence,matches_evaluation/measure,matches_evaluation/method
6i0xepuivt,63516fedb9c880af1f305b5c,2022-09-01T15:16:05.444Z,True,0.67,2022-09-01T15:16:05.444Z,66a94333-8cd1-499c-86ef-0497a4c4dabc,"Wang H, Zheng H, Simpson D, Azuaje F",,10.1186/1471-2105-7-116,0.0,BMC Bioinformatics,16524483,0.0,Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.,01/28/2022 00:13:56,2006,"yes, https://www.nature.com/articles/s41467-019-12812-3#Sec24",,,,ensemble decision tree model,,,,,,,,,,Black box,,,,,,five-fold cross-validation
nlj5x3dld8,63516fedb9c880af1f305b93,2022-09-01T15:16:05.445Z,True,0.67,2022-09-01T15:16:05.445Z,147ddf2b-6b53-4335-b62f-87994d284310,"Al-Shahib A, Breitling R, Gilbert DR",,10.1186/1471-2164-8-78,0.0,BMC Genomics,17374164,0.0,Predicting protein function by machine learning on amino acid sequences--a critical evaluation.,03/09/2022 10:14:51,2007,Casp 11 website (https://predictioncenter.org/casp11/index.cgi),,Not assessed. In principle de novo protein structure prediction experiments should involve protein with no similarity with those in public available databases,,Two stage neural network approach,,,672 features,Newly crystallized proteins should avoid overfitting ,"Yes, combination of different alignments  tested on independent datasets",,,,,Black box,Classification prediction of residue contact.,,Performance achieved with methods based on automatic multiple sequence alignment calculation,,Precision as a function of effective aligned sequences,Independent dataset form CASP11
ysqyy92zyr,66030aaa1502715bfe53d65c,2024-03-26T17:49:30.048Z,True,0.71,2024-03-26T17:49:30.048Z,600b20de-7c70-41af-ad39-33121af090ef,"Hui Lan, Rachel Carson , Nicholas J Provart and Anthony J Bonner",,10.1186/1471-2105-8-358,,BMC Bioinformatics,17888165,,Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements,,2007,,"Data are extracted from different databases (TAIR, AtGenExpress Consortium, NASCArrays). Data are in classes. Npos and Nneg are not reported.",Random split has been adopted for cross-validation. No redundancy check performed.,"Training set: 11553 data points, No test nor validation sets have been used.  Performance is scored using cross-validation only.","Different supervised and unsupervised learning algorithms: logistic regression, linear discriminant analysis, quadratic discriminant analysis, naive Bayes, k-nearest neighbors, PCA. No new algorithm developed.",,Gene expression data,290 features. no feature selection performed.,p is much lower than the number of features. Unclear how potential underfitting was handled,,"Unclear, approximately in the range of the number of features",Not adopted,,not stated,"Model is partially interpretable, since classifier paramenters can be used to assess how gene expression data related to gene response to stress.",,,no comparison with other approaches perfomed,no confidence interval reported. No statistical significance over baselines has been computed,ROC curve,cross validation
qx3ex71jye,66041e5d1502715bfe53d70a,2024-03-27T13:25:49.790Z,True,0.76,2024-03-27T13:25:49.790Z,b863eb51-d9ae-4fc0-bfd4-006db90d1631,"Blaise Gassend, Charles W O'Donnell, William Thies, Andrew Lee, Marten van Dijk and Srinivas Devadas",,10.1186/1471-2105-8-S5-S3,,BMC Bioinformatics,17570862,,Learning biophysically-motivated parameters for alpha helix prediction,,2007,,"Data is extracted from the PDB. Data are in classes (alpha-helix vs other), however, it is not clear ho many alpha-helix residues (positive example) are present within the 300 proteins in the dataset. Dataset previsouly used in other studies and recognized by the community (no logner available)",All proteins in the dataset are non-homologous all-alpha proteins. Unclear how redundancy reduction is performed.,Traning set: 150 proteins; Testing set: 150 proteins. Distributions of data classess in training and testing not shown. No validation set adopted. ,support vector machine classifyer. The algorithm is not new.,,Residue are encoded with different propensity scale for a residues to by in alpha-helix or coil,f=380. No feature selection performed. ,p is much lower than number of training points. Not clear how potential undefitting has been ruled out,,,No regularization applied. Validation set not used.,,,"Model is interpreatable, since paramenters learning by the SVM corresponds to interpretable paramenters of an energy function",binary classification,Not available,Cmparison with other approaches is missing. No baseline method is considered,Not reported,accuracy and segment-overlap value for alpha helix (SOVa),Repeated random traing/test split
v536tc3b5t,63516fedb9c880af1f305b1c,2022-09-01T15:16:05.443Z,True,0.81,2022-09-01T15:16:05.443Z,28fe7de1-ac05-4cf2-bfa8-d5ddd1ba32b8,"Tsai RT, Dai HJ, Huang CH, Hsu WL",,10.1186/1471-2105-9-S12-S18,0.0,BMC Bioinformatics,19091017,0.0,Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.,03/25/2022 13:35:02,2008,Yes :  data to reproduce the results can be downloaded from GitHub (https://github.com/ggonzalezp/hyperfoods).  All data were extracted from publicly available databases.,"""Data were extracted from publicly available databases: UniProt, STRING STITCH; COSMIC, NCBI,  DrugBase, DrugCentral,  FooDB, KEGG, MSigDB.   The dataset contains 2048 drugs (training dataset).   The dataset had been previously used also in https://doi.org/10.1038/s41598-019-45349-y.     The procedure in [ https://doi.org/10.1038/s41598-019-45349-y ] was used to obtain classification labels for the cancer task (positive (anti-cancer drug)/negative (non anti-cancer drug): N_pos = 209 /N_neg = 1839 drugs).   
",,"A 5-fold cross-validation was performed to assess model performance. In each split, 20% of the data is kept as the test set; from the remaining 80%, 10% is used as a validation set to perform early stopping. All splits were generated stratifying samples with respect to labels.  To balance the positive/negative classes (only 10.2% of drugs are anticancer), the contribution of each class was re-scaled to the loss function so that it is inversely proportional to class frequencies of each class during training.  ","A  non-linear, multi-layer convolutional Graph Neural Network (GNN) was trained to encode drug features, which were then fed to a Multi-Layer Perceptron (MLP) to output a probability distribution.  The probability distributions were passed to a SVM for the binary classification of nodes. The training was end-to-end.","Yes. Hyperparameter settings for every method are reported. For neural models, hyperparameter candidates can be found in Table 1, Characteristics of the neural network models architecture can be found in text.","Initially, each drug (or food molecule) is represented by a graph G of human PPI (with 15135 nodes and 177848 edges), with one binary feature per node (1 for anti-cancer, 0 for non anti-cancer).     A vector representation of the graph G is computed using a Graph Encoder, i.e. a GNN, which learns the systemic effect of drugs (or food molecules) on the PPI network.    ","Initial f0) = number of genes x number of drugs (15135x2048).  After the GNN step, each drug has an associated feature vector, so that the number of features is reduced to f < f(0). ","As far as one can tell, over-fitting could not be excluded (p >> N).  Indeed, regularization was performed.",,,"Yes.   L2 regularization on weights of the neural network was performed.    Space search:  1.10^(−5), 1.10^(−4), 5.10^(−4).  ",The code to reproduce the results can be downloaded from GitHub (https://github.com/ggonzalezp/hyperfoods),"Training time is expressed as milliseconds per sample per epoch, to facilitate the estimation of the total training time the proposed neural models would need for a different dataset.","Transparent : The attribution recall score for the best performing model is computed, to assess whether the model predicts drugs as anticancer preferentially based on the feature values in cancer-related genes, and found to be very high (85%). This means that the graph neural model classifies drugs as anticancer preferentially based on the value of the input features in cancer-related genes, which adds to the biological plausibility of the model. In addition, 6 use cases were invetigated. For all 6 drugs studied, over-represented pathways successfully recovered pathways described in the literature along with cancer-related
 pathways. This means that the representations learned capture the mechanisms of action of drugs.","Regression is the output by neural networks, i.e. a probability distribution for anticancer/non-anticancer categories), which is taken in input by SVM for a binary classification output.",Yes. (https://github.com/ggonzalezp/hyperfoods),"A baseline input is used, in which all drug targets are set to zero. To motivate the use of network propagation, versions of the baseline and proposed methods without network propagation were also evaluated (for comparison to the method used in https://doi.org/10.1038/s41598-019-45349-y, which did not use network propagation). F1 score and AUPR were significantly higher with the adopted models.","Confidence intervals and statistical significance are reported. Statistically significant higher performance measures were obtained by the used model, relative to the baseline method and to the method without network propagation used in https://doi.org/10.1038/s41598-019-45349-y.","Balanced accuracy, F1 score, AUPR. The last two are used as parameters which better capture the performance of a classifier in the case of a highly-imbalanced dataset.","Cross-validation. The model was also tested on an independent dataset of 7793 food molecules, for their classification as anti-cancer or not anti-cancer, available for future experimental tests. The model outputs a high anticancer likelihood for a given food molecule if said molecule acts on the interactome through similar mechanisms of action as those of FDA-approved anticancer drugs. Among the anticancer-predicted molecules, e.g. genistein and pterostilbene show the most promise as cancer preventing agents, as indicated by substantial experimental evidence, gained from the literature."
5867a1dxop,63516fedb9c880af1f305b1d,2022-09-01T15:16:05.443Z,True,0.9,2022-09-01T15:16:05.443Z,56505402-9ea8-41a0-9132-ea658a7eee7f,"Klammer AA, Reynolds SM, Bilmes JA, MacCoss MJ, Noble WS",,10.1093/bioinformatics/btn189,0.0,Bioinformatics,18586734,0.0,Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification.,04/18/2022 16:37:38,2008,"The materials, data, code and associated protocols are available to readers with application to the corresponding author and Waitemata privacy, security and governance group with a limited data sharing agreement.     ","Upon ethics approval obtained locally at Waitemata District Health Board (New Zealand), hematology raw hospital data were downloaded from the Information Process Unit (IPU) of the hospitals.  Data from 43,761 patients were collected between 1 July 2019 and 8 June 2020 from two hospital's flow cytometry analyzers.     A total of 2168 of SARS-CoV-2 PCR tests could be matched to patients with Full Blood Counts (FBC) data.   9 patients with 102 FBCs were SARS-CoV-2 positive, 2159 patients with 15,243 FBCs were SARS-CoV-2 negative.","Since the 102 FBCs sample came from 9 positive patients only, independence seems doubtful. ","Models were trained, tested and then validated in an independent cohort. Due to the low number of COVID-19 PCR-positive cases, serial results for each positive case were used for descriptive statistics and in ML models, ""in the assumption that this would include the various stages of the disease and convalescence"".    A total of 102 (N_pos) instances (serial FBCs in 9 patients identified during New Zealand’s first lockdown) and 204 (N_pos) control FBCs in unique patients were used for model training and testing.   For independent validation:  11 FBCs from 3 patients with COVID-19 were used for validation with 6770 controls.",Boosted decision tree,Authors state that BigML models will be shared without limitations.,Global features.,"Apparently, 20 parameters from cytofluorometry and 4 parameters from standard biochemical laboratory data were used in input.    it is not mentioned whether some of the parameters related to primary diagnoses of other diseases, or related to age, ethnicity and sex were also used.   ","According to the author's statement, the AUROC values of the training (0.98) and of the testing (0.99) sets were ""most likely over-fitting"" -- (AUROC of the independent validation set resulted 0.8).                                                                                ",,"not reported. Most likely, however, the number of parameters was as in the software package by default.",Tools eventually applied to avoid overfitting are not mentioned.,"The materials, data, code and associated protocols are available to readers with application to the corresponding author and Waitemata privacy, security and governance group with a limited data sharing agreement.",,Black box. No information about the optimized parameters were reported.,Binary prediction of a positive or negative SARS-CoV-2 PCR result.,"The materials, data, code and associated protocols are available to readers with application to the corresponding author and Waitemata privacy, security and governance group with a limited data sharing agreement.",A comparison is reported between the boosted decision tree model and the highest univariate predictor for COVID-19 (highly fluorescent lymphocytes count % [HFLC%]).,"AUROC from ML model was 0.80, from univariate predictor was 0.77, but the small difference was not statistically significant, according to 95% Confidence Intervals.",AUROC (in spite of the much higher numerosity of negative versus positive samples in the datasets).,"Validation (most likely 5-fold cross-validation, even if it not mentioned explicitly) on training set and validation on an independent set. Independent set: new data collected from 9 June 2020 to 24 August 2020 during New Zealand’s second wave."
ali2ohlvnk,63516fedb9c880af1f305b94,2022-09-01T15:16:05.445Z,True,0.71,2022-09-01T15:16:05.445Z,9052c56d-022c-45d9-8b82-58312399f0dc,"Zhao XM, Wang Y, Chen L, Aihara K",,10.1186/1471-2105-9-57,0.0,BMC Bioinformatics,18221567,0.0,Gene function prediction using labeled and unlabeled data.,03/24/2022 13:09:43,2008,,In silico gene expression data from DREAM Challenge 4,Not assessed,Networks of different sets of genes for wt and perturbed networks,Learning Gaussian Bayesian networks with interventions,,Global features,Expression level of the genes under different conditions,Not assessed,,Increases with the size of the network. They scale with the number of possible edges,,"Matlab Code
 http://www.plosone.org/article/fetchSingleRepresentation.action?uri=info:doi/10.1371/journal.pone.0150611.s002",,,Network reconstruction,,Comparison with state-of-the-art algorithms,,AUROC and AUPR,Evaluation of two datasets
vwy8sti3pw,66040f611502715bfe53d6e7,2024-03-27T12:21:53.450Z,True,0.81,2024-03-27T12:21:53.450Z,804c2b2b-e663-4d3a-8042-7d2a35ad2122,"Iain Melvin, Jason Weston , Christina S Leslie and William S Noble",,10.1186/1471-2105-9-389,,BMC Bioinformatics,18808707,,Combining classifiers for improved classification of proteins from sequence or structure,,2008,yes (URL),"Data taken from SCOP database (release 1.69). Multi-class data where each class corresponds to a SCOP superfamily. Number of superfamilies is 74 and 1458 in in Set A  and Set B, respectively.  Number of proteins is 643 and 2182 in Set A and Set B, respectively.","Testing set should be independent, given that split has been perfomed at the level of SCOP superfamilies","Dataset A: N_train=543 (proteins), N_test=110 (proteins) ; Dataset B: N_train=1740 (proteins), N_test=442 (proteins)",Combined kNN and SVM. ,"yes, hardcoded into the source code",Protein primary sequence. Profile kernel is used for SVM,,Cannot be determined,,Not clearly declared.,No  ,"yes, thrugh the author website",not reported,,multi-class classification,"yes, through the author website","Yes, with a single external tool (AutoSCOP)",not reported,Per-class error rate,cross-validation and independent test set
2d714axh0n,63516fedb9c880af1f305b3a,2022-09-01T15:16:05.443Z,True,0.86,2022-09-01T15:16:05.443Z,1fe140b6-a570-49cf-bccb-e58aa1719bec,"Brown JB, Akutsu T",,10.1186/1471-2105-10-25,0.0,BMC Bioinformatics,19154573,0.0,"Identification of novel DNA repair proteins via primary sequence, secondary structure, and homology.",02/23/2022 23:30:01,2009,Yes.  Dataset available in the SweetenersDB database http://sebfiorucci.free.fr/SweetenersDB/sweetenersDB.html  ,Dataset:  316 sugar/sweeteners compounds of known sweetness collected by the authors from literature sources in the SweetenersDB database . Already used previously by the same authors (in a less-updated version).   ,The dataset  was split in training and validation sets using a Sphere Exclusion clustering algorithm.     The chemical space was mapped using t-SNE and PCA.,"64 diverse compounds (20.3%) were selected for the validation set, leaving 252 compounds in the training set.     ","The AdaBoost algorithm on a set of 80 Decision Trees was used, as implemented in the scikit learn package.             ","A web server implementing the “open-source” model was developed and is freely available at http://chemosimserver.unice.fr/predisweet/. The 32 descriptors for the “Dragon” model, and 51 descriptors for the “open source” model are also reported.","Drugs were encoded as a set of molecular descriptors.    Molecular descriptors were computed using the Dragonpackage ('Dragon"" descriptors), or RDKit, Mordred, and ChemoPy packages (“open-source” descriptors). ","""For each molecule, 635 molecular descriptors for the Dragon dataset, and 506 features for the “open-source” dataset were used in the model.   For each of these two descriptors sets, the initial number of features had been reduced by removing near-constant features (two or less unique values), features with a standard deviation below 0.001, and features with a correlation greater than 0.95.       During cross-validation, selection of descriptors was done by keeping a given percentile of the highest ranked descriptors based on their Mutual Information with the endpoint. The optimal percentile of features was tuned as a parameter of the Grid Search.   
""",Optimization of the number of features used by the model,,Default defined in sklearn package,"Yes.  To avoid any model bias due to overfitting, the number of features used by the model is a hyperparameter that has been optimized. ",,,Black box,Regression (sweetness score),,"Several regression algorithms from the python package scikit-learn were evaluated: Random Forest, SVM, AdaBoost Tree, and k-Nearest Neighbors. Five-fold cross validation was performed with hyperparameter tuning using a grid search. The AdaBoost Tree model was selected as the best performing model, using 32 descriptors for the “Dragon” model, and 51 descriptors for the “open source” model.","Confidence intervals for coefficient of determination are shown in Fig. S2, but a statistical significance analysis among the different tested methods is not reported","Correlation Coefficient (R^2), cross-validated Correlation Coefficient (Q^2), coefficient of determination (|R^2-R0^2)/R^2), slope of regression line (k). The quality of each prediction is also assessed based on three metrics, namely the applicability, reliability, and decidability domains, typically used in the Quantitative Structure-Activity Relationships field.","Cross-validation. Novel experiments: The virtual screening of a large database of natural compounds (4796) identified thousands of putative sweeteners, of which 3 were selected for in vitro functional assays of the human sweet taste receptor. Among them, arctiin, with a novel scaffold, was identified as a novel agonist of the T1R2/T1R3 sweet taste receptor."
zl2x79pdqc,63516fedb9c880af1f305b5d,2022-09-01T15:16:05.444Z,True,0.81,2022-09-01T15:16:05.444Z,3f2e8acd-75f4-4e37-b345-0b43034fdfd4,"Wegrzyn JL, Lee JM, Liechty J, Neale DB",,10.1093/bioinformatics/btp477,0.0,Bioinformatics,19667082,0.0,PineSAP--sequence alignment and SNP identification pipeline.,04/06/2022 03:38:12,2009,"Class I MHC binding affinity data in IEDB
https://cbs.dtu.dk/services.NetMHCpan-3.0 (broken link)

Class II MHC binding affinity data in IEDB
https://cbs.dtu.dk/services.NetMHCIIpan-3.2 (broken link)

Benchmark dataset (used for comparison with other methods)
https://www.biorxiv.org/content/10.1101/154757v2  https://data.mendeley.com/datasets/jwhmrdx268/1
The authors obtained data in the class I MHC-peptide binding affinity benchmark from personal correspondence with Bhattacharya et al. and they have deposited this dataset in Mendeley Data. The accession number for this data is Mendeley Data:
https://doi.org/10.17632/jwhmrdx268.1
","Regression data

Class I MHC binding affinity data in IEDB
Broken link

Class II MHC binding affinity data in IEDB
Broken link

Benchmark dataset (used for comparison with other methods)
Curated class I MHC benchmark dataset (https://www.biorxiv.org/content/10.1101/154757v2 https://data.mendeley.com/datasets/jwhmrdx268/1)  
Training 176,985
Testing  26,888","Class I MHC binding affinity data in IEDB
For analyses on class I MHC-peptide binding, the IEDB-based dataset of Nielsen et al (2016) was used, in which 5 cross-validation folds were created to ensure no peptide shares a 9-mer sequence with any peptide in a different fold. 	

Class II MHC binding affinity data in IEDB
For analyses on class II MHC-peptide binding, the IEDB-based dataset of Jensen et al (2018) was used, in which 5 cross-validation folds were created in the same way as in Nielsen et al (2016).	

Benchmark dataset (used for comparison with other methods)
The dataset of Bhattacharya et al.(2017) was used, who constructed a benchmark in which no peptide in the test set has identical length and greater than 80% sequence identity to any peptide in the training Set.","Class I MHC binding affinity data in IEDB
Only MHC alleles (114)  with more than 100 examples were included to ensure the quality of training.   1/8 of the training set was held out as a validation set.	

Class II MHC binding affinity data in IEDB
Only MHC alleles (55) with more than 100 examples were included to ensure the quality of training.   1/8 of the training set was held out as a validation set.	

Benchmark dataset (used for comparison with other methods)
51 class I MHC alleles are covered in this dataset.   ",Ensemble of a deep Residual Convolutional Neural Networks.	,,"Each MHC allele was represented by a pseudo-sequence consisting of 34 amino acid residues in contact with the peptide.  All peptides sequences were padded on the right end to the same length, 30 for class I and 40 for class II, using a place-holder amino acid.     For each MHC- peptide pair, the MHC feature vector and the peptide feature matrix formed a final input matrix of size 1400 x 30 for class I MHC and 1400 x 40 for class II MHC. The difference between the peptide length L and the expected length L (9 for class I MHC and 15 for class II MHC) was encoded using a sigmoid function.",Number of initial features on the order of 1400 x 30,Possible redundancy in the sequences,,The model weights from the epoch with the lowest validation loss were selected.,,,,Black box,Regression: The PUFFIN method takes as input a MHC-peptide pair and predicts a probabilistic distribution of peptide-MHC binding affinity. For Classification: positive examples were defined as the ones with a binding affinity stronger than 500 nM.,,"PUFFIN was compared to NetMHCpan, MHCflurry and MHCnuggets. Unlike those methods, PUFFIN provides uncertainty estimates for MHC-peptide affinity prediction. It is shown that PUFFIN’s uncertainty estimates are able to reflect the predictive error on unseen examples.","Confidence intervals are not reported. As mentioned in the text, there were no significant performance differences among the different tested methods.","auROC, F1 score, mean-squared-error (MSE), R2, Spearman, correlation, and Point-Biserial correlation. For auROC, F1 score, and Point-Biserial correlation, positive examples were defined as the ones with a binding affinity stronger than 500 nM.",Cross-validation on training set and independent set
